Year,Month,Day,t_max_B,t_min_B,R_B,U2_B,RH_B,t_max_A,t_min_A,R_A,U2_A,RH_A
2021,1,1,11.91,3.58,63.38,2.08,79.94,6.89,-2.79,49.99,3.16,44.06
2021,1,2,12.85,2.41,65.66,1.45,80.94,12.95,-2.9,62.23,3.05,39.88
2021,1,3,17.18,4.74,70.58,1.39,84.12,13.55,-3.19,62.5,3.02,42.12
2021,1,4,20.83,8.45,70.72,1.07,82.81,14.53,-1.08,61.49,3.08,51.75
2021,1,5,17.97,6.13,73.19,1.37,83.38,16.98,1.07,53.09,4.93,42.25
2021,1,6,17.97,8.72,38.21,2.15,94.25,9.55,-2.32,56.26,5.39,46.5
2021,1,7,14.08,4.59,32.6,2.33,82,10.06,-4.71,61.79,2.03,49.44
2021,1,8,12.57,2.72,38.02,1.48,84.81,8.11,-4.64,40.86,1.14,75.12
2021,1,9,12.04,0.98,70.94,1.18,82.06,4.08,-3.9,33.32,2.56,83.62
2021,1,10,6.92,1.09,12.88,2.6,91.62,1.05,-4.92,21.38,1.92,87.56
2021,1,11,6.16,-0.74,35.09,2.18,92,5.29,-6.44,63.15,1.66,76.69
2021,1,12,10.83,-0.99,69.06,1.01,83.19,11.02,-5.38,63.8,2.48,53.06
2021,1,13,13.69,0.05,74.89,1.16,85,15,-4.63,60.51,3.56,45.12
2021,1,14,18.96,3.98,73.6,1.89,85.56,9.17,-3.19,64.68,4.85,44.31
2021,1,15,13.36,2.53,78.4,2.22,67,8.46,-4.26,61.22,4,35.19
2021,1,16,13.14,0.16,77.89,1.52,66.44,11.73,-3.52,46.55,2.27,45.75
2021,1,17,16.67,2.35,77.35,1.16,70.25,9.92,-3.16,64.88,2.12,60.75
2021,1,18,17.14,3.61,65.16,1.92,85.81,10.24,-1.21,37.12,4.99,47.81
2021,1,19,20.26,11.59,55.6,1.86,89.81,6,-0.71,46.48,3.09,58.31
2021,1,20,20.15,11.23,29.48,1.31,91.88,14.91,-0.35,54.35,4.93,52.19
2021,1,21,20.21,14.01,18.32,1.3,96.88,18.18,2.94,61.38,3.27,51.06
2021,1,22,23.28,14.69,23.72,0.69,91.81,9.16,-1.05,46.04,2.32,76.5
2021,1,23,19.79,12.27,27.31,1.66,91.88,17.4,-1.41,65.02,4.16,67.62
2021,1,24,22.32,15.3,23.87,2.33,94.12,10.49,-1.1,34.73,3.18,69.31
2021,1,25,22.59,13.86,37.51,2.2,93.12,12.76,-2.83,70.89,4.59,56.81
2021,1,26,21.15,11.94,48.9,1.54,79.44,7.12,-5.98,34.88,3.12,61.88
2021,1,27,17.85,6.94,72.77,2.39,74.94,7.72,-6.03,73.44,2.45,58.31
2021,1,28,13.78,3.26,79.36,1.59,77,8.98,-4.04,51.2,4.46,58.25
2021,1,29,16.3,2.65,76.57,1.38,86.5,14.31,-0.49,42.16,4.18,64.06
2021,1,30,20.65,10.61,21.27,2.76,93.06,18.27,4.39,75.98,6.68,52.69
2021,1,31,17.23,7.84,85.81,2.52,74.88,13.13,-0.13,77.36,3.45,47.56
2021,2,32,15.23,3.21,85.7,1.7,75.69,15.87,-1.91,73.65,3.34,39.75
2021,2,33,15.74,1.8,83.47,1.07,78.06,19.45,2.94,72.75,2.95,41.12
2021,2,34,17.82,5.15,80.83,1.74,79.31,24.69,4.23,72.26,4.23,48.06
2021,2,35,21.94,13.28,43.56,2.44,88.38,12.16,0.98,74.78,4.22,45.44
2021,2,36,12.33,7.95,30.58,2.38,82.69,12.88,-3.28,78.34,2.07,40.75
2021,2,37,16.83,7.84,49.48,1.48,90.88,12.47,-1.6,79.9,4.41,42
2021,2,38,15.51,4.76,91.34,1.6,84.56,18.48,-2.85,79.26,3.05,36.12
2021,2,39,16.48,7.15,44.44,1.58,95,17.31,-3.31,49.67,2.48,49.69
2021,2,40,24.57,13.27,40.23,0.98,89.12,13.86,-6.24,36.31,3.6,65.56
2021,2,41,23.58,15.08,21.08,1.11,94.12,2.48,-7.48,29.93,2.43,69.62
2021,2,42,15.48,5.78,20.09,2.41,92.38,4.82,-8.04,77.1,2.1,65.31
2021,2,43,6.16,2.3,27.11,2.89,85.56,-4.41,-9.63,46.6,2.97,62.44
2021,2,44,7.2,1.33,43.87,2.55,77.25,-6.45,-11.8,33.64,3.33,63.56
2021,2,45,5.87,-0.42,16.67,2.17,81.25,-12.24,-16.09,38,4.94,62.5
2021,2,46,-0.63,-8.09,60.59,3.05,74.19,-8.38,-18.03,72.84,2.62,55.81
2021,2,47,2.64,-8.31,90.91,1.49,66.75,-2.79,-13.48,27.8,4.95,79.88
2021,2,48,1.57,-1.18,14.16,2.76,96.62,-1.39,-11.59,56.93,1.4,74.88
2021,2,49,3.49,-2.72,44.55,2.86,92.5,-1.61,-11.77,30.06,2.12,76.31
2021,2,50,8.05,-4.7,99.02,1.69,84.56,10.2,-9.66,86.02,2.65,61.81
2021,2,51,12.65,-2.1,100.91,1.36,85.19,16.6,-2.96,84.05,4.27,59.44
2021,2,52,18.4,4.09,57.47,1.65,93.19,11.27,-2.03,94.18,4.09,50.88
2021,2,53,19.62,8.62,105.08,1.34,72.06,16.45,-3.1,97.38,2.34,34.31
2021,2,54,20.31,5.94,106.69,1.37,82.81,22.65,0.74,91.54,4.79,27.5
2021,2,55,23.14,9.59,62.24,1.8,92.5,12.87,-1.9,98.01,3.99,40.88
2021,2,56,21.83,14.4,41.59,1.53,93.69,9.74,-3.79,61.92,3.05,49.56
2021,2,57,24.08,15.94,59.67,1.9,90.62,18.23,-3.7,99.08,3.22,40.94
2021,2,58,22.43,17.23,53.02,2.16,93.25,22.8,-1.35,93.48,3.94,21.38
2021,2,59,24.81,17.46,42.85,1.94,92.12,11.64,-3.1,99.55,4.43,35.94
2021,3,60,20,11.07,29.28,1.75,93.12,10.87,-2.94,101.98,2.21,34.44
2021,3,61,16.97,6.42,98.74,2.34,82.69,17.88,-3.21,105.16,4.02,29.38
2021,3,62,18.21,3.14,112.38,1.05,74.06,22.87,-0.8,100.93,3.23,22.94
2021,3,63,19.62,7.07,112.49,1.09,74.88,25.08,4.5,78.06,4.84,26.31
